path,sentence
1_Mose_1_1.wav,mose nnwoma a ɛdikan
1_Mose_1_2.wav,mose nnwoma a ɛdikan ɛti baako
1_Mose_1_3.wav,Adebɔ Ahyɛaseɛ
1_Mose_1_4.wav,Ahyɛaseɛ no
1_Mose_1_5.wav,Onyankopɔn bɔɔ ɔsoro ne asase
1_Mose_1_6.wav,Na asase yɛ sakasaka ne hunu
1_Mose_1_7.wav, Na esum kata nsubunu no ani
1_Mose_1_8.wav,Na Onyankopɔn honhom butu nsuo no ani
1_Mose_1_9.wav,Onyankopɔn hyɛɛ sɛ
1_Mose_1_10.wav,ɛnyɛ hann
1_Mose_1_11.wav, Na ɛyɛɛ hann
1_Mose_1_12.wav,Onyankopɔn hunuu sɛ hann no yɛ
1_Mose_1_13.wav,"enti, ɔtee hann no firii esum no ho"
1_Mose_1_14.wav,Onyankopɔn frɛɛ hann no sɛ adekyeeɛ
1_Mose_1_15.wav,na esum no nso sɛ adesaeɛ
1_Mose_1_16.wav,Adeɛ saeɛ na adeɛ kyeeɛ
1_Mose_1_17.wav,ɛda a ɛdi ɛkan no no. Onyankopɔn kaa sɛ
1_Mose_1_18.wav,Nkyɛmu mmra nsuo no ntam
1_Mose_1_19.wav,na ɛnkyekyɛ nsuo no mu
1_Mose_1_20.wav,"Enti, Onyankopɔn yɛɛ nkyɛmu no de kyekyɛɛ nsuo a"
1_Mose_1_21.wav,ɛwɔ nkyɛmu no ase firii nsuo a ɛwɔ nkyɛmu no atifi no mu
1_Mose_1_22.wav,Na ɛyɛɛ saa. Onyankopɔn too atifi nkyɛmu no edin ewiem
1_Mose_1_23.wav,Na esum duruiɛ ɛnna adeɛ kyeeɛ
1_Mose_1_24.wav,yei ne ɛda a ɛtɔ so mmienu
1_Mose_1_25.wav, Na Onyankopɔn kaa sɛ
1_Mose_1_26.wav,Nsuo a ɛwɔ nkyɛmu no ase no ano mmoa wɔ faako
1_Mose_1_27.wav,na asase kesee nna ne ho adi
1_Mose_1_28.wav,Na ɛyɛɛ saa. Onyankopɔn too beaeɛ kesee no edin asase.
1_Mose_1_29.wav," Ɛnna nsuo a ɛboaa ne ho ano no nso, ɔtoo no edin ɛpo"
1_Mose_1_30.wav,"Onyankopɔn hunuu sɛ ɛyɛ. Afei, Onyankopɔn kaa sɛ"
1_Mose_1_31.wav,Afifideɛ mfifiri asase so; afifideɛ a ɛso aba
1_Mose_1_32.wav,nnuaba ahodoɔ a ɛso aba ne deɛ
1_Mose_1_33.wav,nʼaba hyehyɛ mu nyinaa mfifiri asase so
1_Mose_1_34.wav,Na ɛyɛɛ saa. Afifideɛ a ɛso aba
1_Mose_1_35.wav, ne nnua fifirii asase so na nʼaba no nyini yɛɛ nnua ɛne
1_Mose_1_36.wav,afifideɛ sɛ ne sɛso
1_Mose_1_37.wav,"Onyankopɔn hunuu sɛ, ɛyɛ"
1_Mose_1_38.wav, Na adeɛ saeɛ ɛnna adeɛ kyeeɛ
1_Mose_1_39.wav,Yei ne ɛda a ɛtɔ so mmiɛnsa
1_Mose_1_40.wav,Na Onyankopɔn kaa sɛ
1_Mose_1_41.wav,Hann mmra nkyɛmu a ɛwɔ ewiem no mu
1_Mose_1_42.wav,mmɛpae adekyeeɛ
1_Mose_1_43.wav, ne adesaeɛ mu
1_Mose_1_44.wav,Na ɛmmɛyɛ nnyinasoɔ mma ɛberɛ nkyekyɛmu
1_Mose_1_45.wav,nna ne mfeɛ
1_Mose_1_46.wav,na ɛmma hann mmra nkyɛmu a ɛwɔ ewiem no mu
1_Mose_1_47.wav,na ahyerɛn wɔ asase so
1_Mose_1_48.wav,Na ɛyɛɛ saa. Onyankopɔn yɛɛ nkanea akɛseɛ mmienu
1_Mose_1_49.wav,a ɛyɛ owia ne ɔbosome sɛ
1_Mose_1_50.wav, owia no nni adekyeeɛ so na ɔbosome no nni anadwo so.
1_Mose_1_51.wav,Ɔbɔɔ nsoromma nso. Onyankopɔn de nkanea akɛseɛ mmienu yi sii nkyɛmu
1_Mose_1_52.wav,"ewiem no mu sɛ, ɛnhyerɛn wɔ asase so"
1_Mose_1_53.wav,"na wɔnni adekyeeɛ ne adesaeɛ no so, na ɛnte hann no mfiri esum no ho"
