audioPath,transcription,translation
AsantiTwiMa22-FADISLEw-Tmp023-WlWgan.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa29-DOeVmMA1-Tmp023-65ULLE.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa22-GAqQEaiP-Tmp023-MIWNFN.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm25-RAv79nIc-Tmp023-R7ULTr.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm23-SD4Jsm81-Tmp023-Dy4WFW.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa46-F jOvp38-Tmp023-FB0oEz.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa24-OA08R3mD-Tmp023-YzAD7C.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa25-CCB9p7d5-Tmp023-zl5mn7.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm60-MSJ1Bd5N-Tmp023-v2UGqv.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm47-ITzf6beh-Tmp023-NweV9G.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm40-VYYwbSqK-Tmp023-y2ZD5g.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa27-PKrfEKgI-Tmp023-ggvB7c.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm24-VAD78uK2-Tmp023-eWo5wn.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa24-FBRUcWWD-Tmp023-fJEl5v.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm26-BTHHcB4Y-Tmp023-5ljIXh.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm20-CTwUaRZ4-Tmp023-mj9u2Q.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm25-PKxokOLV-Tmp023-j9d05i.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm19-KY7ozok0-Tmp023-g41Pdt.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm18-NNYuf3Ef-Tmp023-rfKs2c.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa26-EOnn5ccK-Tmp023-MRqURL.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm23-FAXbTmoc-Tmp023-UBgWlS.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa30-SOsZrWOW-Tmp023-SodNPD.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm21-EEBdHO99-Tmp023-JBgBiC.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm19-MBbk8ZN2-Tmp023-cdmEXR.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm26-FBlZuKj9-Tmp023-L1ueLL.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa24-YLPN6Hr0-Tmp023-suUBdy.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm23-MMuHe3cd-Tmp023-fiOKOo.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm19-ANNwpn9J-Tmp023-mUIcaj.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm24-AOf7u9g1-Tmp023-QDRS7b.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm26-EAmHJTut-Tmp023-l3QYd6.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa23-JAaBeNcN-Tmp023-TAFNUA.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm26-CWYKxyFV-Tmp023-sVqX4n.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa23-PAWhjS09-Tmp023-RiVrPt.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa37-BTFet0MN-Tmp023-38iPSk.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa20-SQF23O2h-Tmp023-C9uZ5n.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa30-SKUDJnDU-Tmp023-22JPCW.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa40-PAHO4JO8-Tmp023-GeZby3.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm24-kKkyDX8L-Tmp023-RVlyXy.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa26-ABLdg0RU-Tmp023-yqI9qp.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa26-JAU7Mmun-Tmp023-CzaeHe.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa24-EHg2eUsk-Tmp023-NoQdET.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm22-EAmgxBuU-Tmp023-6Ern0V.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiMa22-TQnsZxsp-Tmp023-R0Zy25.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm30-PAg4K8fA-Tmp023-aDqlOu.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm22-N dPG3wD-Tmp023-xZpHv4.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
AsantiTwiFm60-MAcik3X5-Tmp023-XLkusX.ogg,Maa wɔn ho yɛɛ huam,For them to smell good
